manual,slug,quarto,cran
r-exts,,https://rstudio.github.io/r-manuals/r-exts/,https://cran.r-project.org/doc/manuals/R-exts.html
r-admin,,https://rstudio.github.io/r-manuals/r-admin/,https://cran.r-project.org/doc/manuals/R-admin.html
r-exts,creating-r-packages,https://rstudio.github.io/r-manuals/r-exts/Creating-R-packages.html,https://cran.r-project.org/doc/manuals/R-exts.html#Creating-R-packages
r-exts,data-in-packages,https://rstudio.github.io/r-manuals/r-exts/Creating-R-packages.html#data-in-packages,https://cran.r-project.org/doc/manuals/R-exts.html#Data-in-packages
r-admin,managing-libraries,https://rstudio.github.io/r-manuals/r-admin/Add-on-packages.html#managing-libraries,https://cran.r-project.org/doc/manuals/r-patched/R-admin.html#Managing-libraries
r-exts,the-description-file,https://rstudio.github.io/r-manuals/r-exts/Creating-R-packages.html#the-description-file,https://cran.r-project.org/doc/manuals/R-exts.html#The-DESCRIPTION-file
r-exts,rd-format,https://rstudio.github.io/r-manuals/r-exts/Writing-R-documentation-files.html#rd-format,https://cran.r-project.org/doc/manuals/R-exts.html#Rd-format
r-exts,building-package-tarballs,https://rstudio.github.io/r-manuals/r-exts/Creating-R-packages.html#building-package-tarballs,https://cran.r-project.org/doc/manuals/R-exts.html#Building-package-tarballs
r-exts,building-binary-packages,https://rstudio.github.io/r-manuals/r-exts/Creating-R-packages.html#building-binary-packages,https://cran.r-project.org/doc/manuals/R-exts.html#Building-binary-packages
r-admin,installing-packages,https://rstudio.github.io/r-manuals/r-admin/Add-on-packages.html#installing-packages,https://cran.r-project.org/doc/manuals/R-admin.html#Installing-packages
r-exts,checking-packages,https://rstudio.github.io/r-manuals/r-exts/Creating-R-packages.html#checking-packages,https://cran.r-project.org/doc/manuals/R-exts.html#Checking-packages
